City_ID,City,Country,Max Temp,Current Description,Lat,Log,Hotel Name
8,Hithadhoo,MV,82.71,overcast clouds,-0.6,73.0833,Scoop Guest House
26,Auki,SB,80.33,light rain,-8.7676,160.7034,Auki Motel
28,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
32,Kapaa,US,81.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Faanui,PF,80.33,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
62,Las Choapas,MX,80.91,scattered clouds,17.9333,-94.0833,Hotel Jysmak
68,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
85,Sorong,ID,83.82,few clouds,-0.8833,131.25,waigo splash hotel
88,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
95,Butaritari,KI,82.89,light rain,3.0707,172.7902,Isles Sunset Lodge
98,Ahuimanu,US,81.79,clear sky,21.4447,-157.8378,Paradise Bay Resort
103,Kawalu,ID,84.31,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
107,Kingston,JM,81.55,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
110,Tura,IN,81.36,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
127,Kavaratti,IN,83.8,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
131,Myitkyina,MM,82.38,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
135,Karratha,AU,82.9,broken clouds,-20.7377,116.8463,ibis Styles Karratha
144,Kloulklubed,PW,83.55,moderate rain,7.0419,134.2556,Storyboard Beach Resort
146,Alyangula,AU,84.07,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
153,Makakilo City,US,80.62,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
158,Korla,CN,84.29,clear sky,41.7597,86.1469,Gulisitan Hotel
161,Kaduqli,SD,82.8,clear sky,11.0167,29.7167,فندق الله جابو
165,Awbari,LY,84.07,few clouds,26.5921,12.7805,فندق أوباري
166,Brownsville,US,80.91,broken clouds,25.9018,-97.4975,University Inn & Suites
172,Ranong,TH,82.33,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
173,Puerto Escondido,MX,84.07,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
176,Laguna,US,84.7,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
181,Arlit,NE,84.7,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
183,Kiunga,PG,82.29,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
192,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
195,Lazaro Cardenas,MX,80.29,clear sky,17.9583,-102.2,Hotel Quinta Antigua
217,Shimoda,JP,80.17,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
225,Hirara,JP,84.06,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
