,City,Country,Lat,Log,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,64.09,74,83,11.88,broken clouds
1,Tazovskiy,RU,67.4667,78.7,31.57,70,82,7.9,broken clouds
2,Narsaq,GL,60.9167,-46.05,36.84,79,9,6.82,clear sky
3,Araouane,ML,18.9048,-3.5265,94.71,22,64,9.24,broken clouds
4,Northam,GB,51.0333,-4.2167,56.08,83,100,6.04,overcast clouds
5,Cidreira,BR,-30.1811,-50.2056,62.6,96,100,10.71,moderate rain
6,Hermanus,ZA,-34.4187,19.2345,56.89,86,35,13.58,light rain
7,Kodiak,US,57.79,-152.4072,47.71,81,90,6.91,overcast clouds
8,Hithadhoo,MV,-0.6,73.0833,82.71,75,100,16.24,overcast clouds
9,Barrow,US,71.2906,-156.7887,30.22,80,90,4.61,overcast clouds
10,Sal Rei,CV,16.1833,-22.9167,70.36,83,32,14.7,scattered clouds
11,Albany,US,42.6001,-73.9662,45.27,92,100,4.61,moderate rain
12,Santarem,BR,-2.4431,-54.7083,78.93,94,75,13.8,light rain
13,Nanortalik,GL,60.1432,-45.2371,35.73,97,100,0.87,overcast clouds
14,Moron,AR,-34.6534,-58.6198,60.55,60,71,1.01,broken clouds
15,Vaini,TO,-21.2,-175.2,77.16,78,75,2.3,broken clouds
16,Punta Arenas,CL,-53.15,-70.9167,35.71,75,20,21.59,few clouds
17,Victoria,HK,22.2855,114.1577,90.32,75,100,1.01,overcast clouds
18,Yarada,IN,17.65,83.2667,89.92,74,40,3.51,scattered clouds
19,Rikitea,PF,-23.1203,-134.9692,76.77,77,76,20.74,broken clouds
20,Geraldton,AU,-28.7667,114.6,64.81,94,75,14.83,broken clouds
21,Date,JP,42.4681,140.8681,51.46,94,100,13.0,light rain
22,Puerto Ayora,EC,-0.7393,-90.3518,73.54,91,65,7.0,broken clouds
23,Barcelos,PT,41.5388,-8.6151,58.84,92,5,3.04,clear sky
24,Leningradskiy,RU,69.3833,178.4167,33.93,86,11,12.84,few clouds
25,Rawson,AR,-43.3002,-65.1023,40.44,48,2,15.95,clear sky
26,Auki,SB,-8.7676,160.7034,80.33,85,94,5.35,light rain
27,Dikson,RU,73.5069,80.5464,25.92,81,58,4.0,broken clouds
28,Alofi,NU,-19.0595,-169.9187,82.29,74,33,6.91,scattered clouds
29,Wanxian,CN,30.8039,108.3897,76.26,64,100,2.39,overcast clouds
30,Juneau,US,58.3019,-134.4197,49.21,99,100,10.0,moderate rain
31,Upernavik,GL,72.7868,-56.1549,28.51,94,95,7.94,overcast clouds
32,Kapaa,US,22.0752,-159.319,81.12,72,21,1.99,few clouds
33,Faanui,PF,-16.4833,-151.75,80.33,70,23,1.1,few clouds
34,Saedinenie,BG,42.2667,24.55,60.94,77,90,10.51,overcast clouds
35,Bethel,US,41.3712,-73.414,49.5,91,100,3.0,moderate rain
36,Benguela,AO,-12.5763,13.4055,73.15,58,7,6.22,clear sky
37,Severo-Kurilsk,RU,50.6789,156.125,42.33,74,60,5.95,broken clouds
38,Shingu,JP,33.7333,135.9833,73.9,59,100,1.48,overcast clouds
39,Severo-Yeniseyskiy,RU,60.3725,93.0408,32.18,83,100,10.94,overcast clouds
40,Praxedis Guerrero,MX,31.3667,-106.0167,89.56,8,0,7.52,clear sky
41,Yellowknife,CA,62.456,-114.3525,57.72,38,20,3.0,few clouds
42,Bambanglipuro,ID,-7.95,110.2833,67.6,71,100,6.44,overcast clouds
43,Hasaki,JP,35.7333,140.8333,79.2,73,100,20.65,overcast clouds
44,Hobart,AU,-42.8794,147.3294,52.05,58,75,1.99,broken clouds
45,Ribeira Grande,PT,38.5167,-28.7,62.26,73,22,4.5,few clouds
46,Bredasdorp,ZA,-34.5322,20.0403,58.32,77,12,10.2,few clouds
47,Deputatskiy,RU,69.3,139.9,50.88,34,21,21.14,few clouds
48,Mumford,GH,5.2618,-0.759,79.84,87,99,6.55,light rain
49,Harper,LR,4.375,-7.7169,79.75,86,98,7.72,overcast clouds
50,Jamestown,US,42.097,-79.2353,44.1,95,100,5.99,overcast clouds
51,Iquique,CL,-20.2208,-70.1431,62.64,77,44,2.1,scattered clouds
52,Thompson,CA,55.7435,-97.8558,57.36,38,90,8.05,overcast clouds
53,Qaanaaq,GL,77.484,-69.3632,36.32,81,97,4.74,overcast clouds
54,Vostok,RU,46.4856,135.8833,49.62,70,100,8.05,overcast clouds
55,Souillac,MU,-20.5167,57.5167,74.35,88,75,6.69,broken clouds
56,Tonstad,NO,58.6626,6.7169,49.35,56,6,5.79,clear sky
57,Roma,US,43.2128,-75.4557,46.26,94,100,8.12,light rain
58,Port Alfred,ZA,-33.5906,26.891,61.74,67,1,20.92,clear sky
59,Okahandja,NA,-21.9833,16.9167,59.31,38,0,5.41,clear sky
60,Gerash,IR,27.6652,54.1371,69.94,12,0,2.08,clear sky
61,Stromness,GB,58.965,-3.296,46.36,92,0,14.27,clear sky
62,Las Choapas,MX,17.9333,-94.0833,80.91,78,34,2.51,scattered clouds
63,Aklavik,CA,68.2191,-135.0107,34.52,63,100,15.77,overcast clouds
64,Stantsionno-Oyashinskiy,RU,55.4664,83.8245,54.63,45,6,6.53,clear sky
65,Melendugno,IT,40.2747,18.3368,64.06,74,62,9.84,broken clouds
66,Ostrovnoy,RU,68.0531,39.5131,34.86,98,87,17.83,light rain
67,Codrington,AU,-38.2667,141.9667,55.62,59,6,8.3,clear sky
68,Port Hedland,AU,-20.3167,118.5667,80.65,34,99,18.41,overcast clouds
69,Severomuysk,RU,56.1481,113.4267,48.47,45,75,3.42,broken clouds
70,Hilo,US,19.7297,-155.09,77.79,86,32,1.99,scattered clouds
71,Atuona,PF,-9.8,-139.0333,79.05,72,25,14.18,scattered clouds
72,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,86,75,8.05,broken clouds
73,Mocuba,MZ,-16.8392,36.9856,58.91,95,0,3.71,clear sky
